status,universal_id,internal_id,internal_name,internal_team,hkb_id,hkb_name,hkb_team,notes
MATCHED,0000362,8758,Kenley Jansen,DET,KUWaF-Oi,Kenley Jansen,DET,Existing registry mapping
MATCHED,0000361,11489,Aaron Ashby,MIL,IkcMHx7G,Aaron Ashby,MIL,Existing registry mapping
MATCHED,0000364,9727,Kirby Yates,LAA,Xq1ueIKO,Kirby Yates,LAA,Existing registry mapping
MATCHED,0000370,60070,Owen Murphy,ATL,oUk33Cuo,Owen Murphy,ATL,Existing registry mapping
MATCHED,0000355,1000002,Shohei Ohtani (Pitcher),LAD,seQYv10w,Shohei Ohtani,LAD,Existing registry mapping
MATCHED,0000365,12561,Jack Leiter,TEX,ySWcf7-h,Jack Leiter,TEX,Existing registry mapping
MATCHED,0000366,64011,Logan Evans,SEA,a2eql16b,Logan Evans,SEA,Existing registry mapping
MATCHED,0000367,10141,Zach Eflin,BAL,0UnStI2C,Zach Eflin,BAL,Existing registry mapping
MATCHED,0000368,64326,Cam Caminiti,ATL,4hHchkOL,Cam Caminiti,ATL,Existing registry mapping
MATCHED,0000369,64336,Kash Mayfield,SD,FpaVgMJU,Kash Mayfield,SD,Existing registry mapping
MATCHED,0000371,65731,Kruz Schoolcraft,SD,lUvKXD66,Kruz Schoolcraft,SD,Existing registry mapping
MATCHED,0000372,63100,Trevor Harrison,TB,ckMUN8cN,Trevor Harrison,TB,Existing registry mapping
MATCHED,0000373,9718,J.T. Realmuto,PHI,Y7STCais,J.T. Realmuto,PHI,Existing registry mapping
MATCHED,0000374,12262,Romy Gonzalez,BOS,yH28Ua8R,Romy Gonzalez,BOS,Existing registry mapping
MATCHED,0000375,10237,Ozzie Albies,ATL,wh6PzJjo,Ozzie Albies,ATL,Existing registry mapping
MATCHED,0000392,9507,Jose Ramirez,CLE,66D27pAK,José Ramírez,CLE,Existing registry mapping
MATCHED,0000384,62354,Alex Freeland,LAD,tGXcSEqS,Alex Freeland,LAD,Existing registry mapping
MATCHED,0000378,10883,Yordan Alvarez,HOU,ZznYw38E,Yordan Alvarez,HOU,Existing registry mapping
MATCHED,0000379,10843,Daulton Varsho,TOR,ZJl5u_og,Daulton Varsho,TOR,Existing registry mapping
MATCHED,0000380,10480,Kyle Tucker,LAD,csBTWxeU,Kyle Tucker,LAD,Existing registry mapping
MATCHED,0000381,10440,Ian Happ,CHC,Wr58xLKm,Ian Happ,CHC,Existing registry mapping
MATCHED,0000382,12582,Daylen Lile,WSH,EOzZGxAA,Daylen Lile,WSH,Existing registry mapping
MATCHED,0000376,64533,Sam Antonacci,CWS,wzEf0PK0,Sam Antonacci,CWS,Existing registry mapping
MATCHED,0000377,9610,J.P. Crawford,SEA,Y-S9NbSq,J.P. Crawford,SEA,Existing registry mapping
MATCHED,0000383,60183,Drew Gilbert,SF,ifzPRs8Y,Drew Gilbert,SF,Existing registry mapping
MATCHED,0000385,64479,Ryan Waldschmidt,AZ,okC4dDyK,Ryan Waldschmidt,AZ,Existing registry mapping
MATCHED,0000386,64314,Braden Montgomery,CWS,Gzg16IJf,Braden Montgomery,CWS,Existing registry mapping
MATCHED,0000387,10456,Tyler Stephenson,CIN,2zpRvN1E,Tyler Stephenson,CIN,Existing registry mapping
MATCHED,0000388,62342,Luke Adams,MIL,Udd6o62h,Luke Adams,MIL,Existing registry mapping
MATCHED,0000936,12477,Jeferson Quero,MIL,MjPkEspE,Jeferson Quero,MIL,Existing registry mapping
MATCHED,0000390,62984,Matt Shaw,CHC,tTgeORtg,Matt Shaw,CHC,Existing registry mapping
MATCHED,0000391,12742,Spencer Horwitz,PIT,hWtgfuyU,Spencer Horwitz,PIT,Existing registry mapping
MATCHED,0000393,12580,Brady House,WSH,yLZigg0h,Brady House,WSH,Existing registry mapping
MATCHED,0000395,65740,Ike Irish,BAL,n8IBN3fW,Ike Irish,BAL,Existing registry mapping
MATCHED,0000396,64916,Rainiel Rodriguez,STL,yttbbtDr,Rainiel Rodriguez,STL,Existing registry mapping
MATCHED,0000397,60418,Ian Seymour,TB,0_ua4GPc,Ian Seymour,TB,Existing registry mapping
MATCHED,0000401,12484,Chase Petty,CIN,jFIz01m2,Chase Petty,CIN,Existing registry mapping
MATCHED,0000409,62912,Zac Thornton,NYM,BgaXBL8J,Zach Thornton,NYM,Existing registry mapping
MATCHED,0000407,64811,Hunter Dobbins,STL,Y9x1BdqQ,Hunter Dobbins,STL,Existing registry mapping
MATCHED,0000400,12401,Gavin Williams,CLE,eXcpOtI2,Gavin Williams,CLE,Existing registry mapping
MATCHED,0000402,11011,Seranthony Dominguez,CWS,4Ydzhw23,Seranthony Domínguez,CWS,Existing registry mapping
MATCHED,0000403,11400,Tyler Phillips,MIA,ZgOnlcst,Tyler Phillips,MIA,Existing registry mapping
MATCHED,0000404,10415,Taylor Clarke,AZ,d9BfwQXt,Taylor Clarke,AZ,Existing registry mapping
MATCHED,0000406,63515,Yuki Matsui,SD,bpwvbues,Yuki Matsui,SD,Existing registry mapping
MATCHED,0000410,9575,Lance McCullers Jr.,MIL,nTD3XWsy,Lance McCullers Jr.,MIL,Existing registry mapping
MATCHED,0000399,10048,Colin Rea,CHC,W4hPNU8X,Colin Rea,CHC,Existing registry mapping
MATCHED,0000398,11789,Drew Rasmussen,TB,g6lxWZMF,Drew Rasmussen,TB,Existing registry mapping
MATCHED,0000405,63720,Justin Sterner,ATH,BsNt8ZdJ,Justin Sterner,ATH,Existing registry mapping
